candidate_index,global_coupling,speed_mm_per_ms,mu,a_scale,b_scale,fast_ratio,fast_fraction,noise_nsig,noise_tau_ms,dorsattn_time_contrast,visual_time_contrast,default_noise_contrast,visual_noise_contrast,network_noise_mode_1,network_noise_mode_2,default_incident_weight_contrast,dorsattn_salventattn_weight_balance
0,7.0,4.0,0.22,0.8,0.95,2.2,0.25,0.0099999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7.0,4.0,0.22,0.8,0.95,2.2,0.25,0.0099999999999999,1.0,0.2074538223445415,0.1379397561773657,0.1990797203034162,-0.4855146631598472,-0.3116356262005865,0.0796191095374524,0.0,0.0
2,7.0,4.0,0.22,0.8,0.95,2.2,0.25,0.0099999999999999,1.0,0.1227713841944933,-0.2110119324177503,-0.1132101789116859,0.226183246821165,-0.0671441631391644,0.3304968807846308,0.0,0.0
3,7.0,4.0,0.22,0.8,0.95,2.2,0.25,0.0099999999999999,1.0,-0.1073871837928891,0.1656674835830927,0.2881018472835421,-0.021162474527955,0.2797903748229146,-0.1109794180840253,0.0,0.0
4,7.0,4.0,0.22,0.8,0.95,2.2,0.25,0.0099999999999999,1.0,-0.023012095503509,-0.2402142539620399,0.1236454807221889,-0.1347593795508146,0.2447987997904419,-0.2697468456812202,0.0,0.0
5,7.0,4.0,0.22,0.8,0.95,2.2,0.25,0.0099999999999999,1.0,0.0383964702486991,0.2879391610622405,-0.2914642998948693,0.1208852156996727,-0.1076045611873268,0.1392636316828429,0.0,0.0
6,7.0,4.0,0.22,0.8,0.95,2.2,0.25,0.0099999999999999,1.0,0.2918288748711348,-0.0610124906525015,0.392834865488112,-0.3569297827780247,-0.2137533427216112,0.2383862346410751,0.0,0.0
7,7.0,4.0,0.22,0.8,0.95,2.2,0.25,0.0099999999999999,1.0,-0.2371867144480347,0.0156680786982178,-0.1940087135881185,0.4055482354015112,0.1338220956735312,-0.0202339723706245,0.0,0.0
8,7.0,4.0,0.22,0.8,0.95,2.2,0.25,0.0099999999999999,1.0,-0.267209286801517,-0.1826535886153578,0.4750249655917287,0.0423750886693596,-0.284900448936969,-0.1327988309785723,0.0,0.0
9,7.0,4.0,0.22,0.8,0.95,2.2,0.25,0.0099999999999999,1.0,0.2524109870195388,0.1905193576589226,-0.1743374485522508,-0.2122322516515851,0.0626962735317647,0.2648203017190098,0.0,0.0
10,7.0,4.0,0.22,0.8,0.95,2.2,0.25,0.0099999999999999,1.0,0.017144077643752,-0.1162660092115402,0.0104497596621513,0.4530229112133384,0.348929220996797,0.013940214831382,0.0,0.0
11,7.0,4.0,0.22,0.8,0.95,2.2,0.25,0.0099999999999999,1.0,-0.07237203810364,0.1060200288891792,-0.3421407090499997,-0.3103721989318728,-0.0034952571615576,-0.2332886057905852,0.0,0.0
12,7.0,4.0,0.22,0.8,0.95,2.2,0.25,0.0099999999999999,1.0,-0.1379971241578459,-0.032654183730483,-0.0075793601572513,-0.4077451964840293,-0.1711037589237093,-0.0858060764148831,0.0,0.0
13,7.0,4.0,0.22,0.8,0.95,2.2,0.25,0.0099999999999999,1.0,0.082768989354372,0.0405199158936738,0.3312209835276007,0.3317298544570803,0.1758520422503352,0.216457006148994,0.0,0.0
14,7.0,4.0,0.22,0.8,0.95,2.2,0.25,0.0099999999999999,1.0,0.1867859367281198,-0.266265414096415,-0.4796038335189223,-0.0674082050099968,0.1127265668474137,0.1173373864032328,0.0,0.0
15,7.0,4.0,0.22,0.8,0.95,2.2,0.25,0.0099999999999999,1.0,-0.2015843393281102,0.256019470654428,0.1874549631029367,0.1789002614095807,-0.2403388117440044,-0.335316592361778,0.0,0.0
16,7.0,4.0,0.22,0.8,0.95,2.2,0.25,0.0099999999999999,1.0,-0.2168467283248901,-0.2928757667541504,-0.1528197927400469,-0.3161381389945745,0.2995427487418055,0.1828791146166622,0.0,0.0
17,7.0,4.0,0.22,0.8,0.95,2.2,0.25,0.0099999999999999,1.0,0.1622046248987317,0.2257573172450065,0.4458837416023016,0.4233960807323456,-0.0528176320716738,-0.0510298918001353,0.0,0.0
