region_index,region_name,hemisphere,source_vertices,represented_area_m2
0,7Networks_LH_Vis_1,lh,83,3.725496991291219e-05
1,7Networks_LH_Vis_2,lh,120,6.297405037704066e-05
2,7Networks_LH_Vis_3,lh,85,2.9279375536227432e-05
3,7Networks_LH_Vis_4,lh,75,3.8313958533123355e-05
4,7Networks_LH_Vis_5,lh,78,3.64503421855429e-05
5,7Networks_LH_Vis_6,lh,44,1.6369868673904312e-05
6,7Networks_LH_Vis_7,lh,100,4.7250696739298834e-05
7,7Networks_LH_Vis_8,lh,102,3.3939888445072104e-05
8,7Networks_LH_Vis_9,lh,62,2.8953541639113693e-05
9,7Networks_LH_Vis_10,lh,173,7.349645380906727e-05
10,7Networks_LH_Vis_11,lh,86,3.46275630643461e-05
11,7Networks_LH_Vis_12,lh,48,2.3162946844867667e-05
12,7Networks_LH_Vis_13,lh,117,5.9576680865114736e-05
13,7Networks_LH_Vis_14,lh,104,4.692949113468888e-05
14,7Networks_LH_SomMot_1,lh,87,3.9347196309986483e-05
15,7Networks_LH_SomMot_2,lh,155,5.718899293485804e-05
16,7Networks_LH_SomMot_3,lh,135,5.1355156680432e-05
17,7Networks_LH_SomMot_4,lh,113,3.729991415535161e-05
18,7Networks_LH_SomMot_5,lh,70,2.427397581043347e-05
19,7Networks_LH_SomMot_6,lh,170,7.151853365644991e-05
20,7Networks_LH_SomMot_7,lh,94,3.4808430677621024e-05
21,7Networks_LH_SomMot_8,lh,91,2.8512133429675384e-05
22,7Networks_LH_SomMot_9,lh,82,2.9203893962619782e-05
23,7Networks_LH_SomMot_10,lh,120,4.338219837695014e-05
24,7Networks_LH_SomMot_11,lh,53,1.6119998325672272e-05
25,7Networks_LH_SomMot_12,lh,110,4.987728837318858e-05
26,7Networks_LH_SomMot_13,lh,59,2.240617377812204e-05
27,7Networks_LH_SomMot_14,lh,99,3.457395570328672e-05
28,7Networks_LH_SomMot_15,lh,219,8.831430645522813e-05
29,7Networks_LH_SomMot_16,lh,58,2.421224322646584e-05
30,7Networks_LH_DorsAttn_Post_1,lh,134,5.911471968516277e-05
31,7Networks_LH_DorsAttn_Post_2,lh,56,1.9607447618791697e-05
32,7Networks_LH_DorsAttn_Post_3,lh,88,3.8057479188782036e-05
33,7Networks_LH_DorsAttn_Post_4,lh,98,3.013833662149999e-05
34,7Networks_LH_DorsAttn_Post_5,lh,84,2.449770694906757e-05
35,7Networks_LH_DorsAttn_Post_6,lh,73,2.081541323581577e-05
36,7Networks_LH_DorsAttn_Post_7,lh,96,3.05553678358577e-05
37,7Networks_LH_DorsAttn_Post_8,lh,77,1.994123498396415e-05
38,7Networks_LH_DorsAttn_Post_9,lh,97,2.5953938472553735e-05
39,7Networks_LH_DorsAttn_Post_10,lh,104,3.133308711218322e-05
40,7Networks_LH_DorsAttn_FEF_1,lh,101,4.263776259173412e-05
41,7Networks_LH_DorsAttn_FEF_2,lh,71,2.8863624734972296e-05
42,7Networks_LH_DorsAttn_PrCv_1,lh,81,3.106946522415475e-05
43,7Networks_LH_SalVentAttn_ParOper_1,lh,93,3.427658107452431e-05
44,7Networks_LH_SalVentAttn_ParOper_2,lh,82,2.434409242868601e-05
45,7Networks_LH_SalVentAttn_ParOper_3,lh,78,2.1425894762213366e-05
46,7Networks_LH_SalVentAttn_FrOperIns_1,lh,127,5.280703807327074e-05
47,7Networks_LH_SalVentAttn_FrOperIns_2,lh,114,4.1811721630574025e-05
48,7Networks_LH_SalVentAttn_FrOperIns_3,lh,86,3.218924274670112e-05
49,7Networks_LH_SalVentAttn_FrOperIns_4,lh,86,3.299299115991832e-05
50,7Networks_LH_SalVentAttn_PFCl_1,lh,116,4.835389357459663e-05
51,7Networks_LH_SalVentAttn_Med_1,lh,113,3.609443944815151e-05
52,7Networks_LH_SalVentAttn_Med_2,lh,142,5.269905137821013e-05
53,7Networks_LH_SalVentAttn_Med_3,lh,74,2.684674368586858e-05
54,7Networks_LH_Limbic_OFC_1,lh,70,3.113446724668735e-05
55,7Networks_LH_Limbic_OFC_2,lh,171,8.467472056534538e-05
56,7Networks_LH_Limbic_TempPole_1,lh,113,4.230484996556879e-05
57,7Networks_LH_Limbic_TempPole_2,lh,122,5.653795827312588e-05
58,7Networks_LH_Limbic_TempPole_3,lh,74,3.2000536862204044e-05
59,7Networks_LH_Limbic_TempPole_4,lh,60,2.6382298940480893e-05
60,7Networks_LH_Cont_Par_1,lh,72,1.814400889105193e-05
61,7Networks_LH_Cont_Par_2,lh,107,3.1057973689787744e-05
62,7Networks_LH_Cont_Par_3,lh,72,1.5507243598842154e-05
63,7Networks_LH_Cont_Temp_1,lh,64,2.6954655527136547e-05
64,7Networks_LH_Cont_OFC_1,lh,52,2.792629045996068e-05
65,7Networks_LH_Cont_PFCl_1,lh,67,3.22605651910534e-05
66,7Networks_LH_Cont_PFCl_2,lh,77,3.34878094803285e-05
67,7Networks_LH_Cont_PFCl_3,lh,103,4.269537958311565e-05
68,7Networks_LH_Cont_PFCl_4,lh,104,3.751728723216312e-05
69,7Networks_LH_Cont_PFCl_5,lh,79,3.122257037523353e-05
70,7Networks_LH_Cont_pCun_1,lh,75,2.7654631672426744e-05
71,7Networks_LH_Cont_Cing_1,lh,79,2.9053364457071233e-05
72,7Networks_LH_Cont_Cing_2,lh,45,1.7815272743598473e-05
73,7Networks_LH_Default_Temp_1,lh,95,5.2342439617110396e-05
74,7Networks_LH_Default_Temp_2,lh,64,3.0025118525798952e-05
75,7Networks_LH_Default_Temp_3,lh,127,5.498958714098285e-05
76,7Networks_LH_Default_Temp_4,lh,118,4.381204660591357e-05
77,7Networks_LH_Default_Temp_5,lh,128,4.21902419684351e-05
