region_index,region_name,hemisphere,source_vertices,represented_area_m2,mean_vertex_field_norm,regional_field_norm,signed_field_retention
0,7Networks_LH_Vis_1,lh,83,3.725496991291219e-05,179.54068177140803,72.33114878280642,0.402867740442797
1,7Networks_LH_Vis_2,lh,120,6.297405037704066e-05,213.12581434017844,106.04329055343545,0.4975619254839567
2,7Networks_LH_Vis_3,lh,85,2.9279375536227432e-05,239.16706280412265,163.98161058750136,0.6856362605489786
3,7Networks_LH_Vis_4,lh,75,3.8313958533123355e-05,202.74619193510185,154.5688111360585,0.7623759028999928
4,7Networks_LH_Vis_5,lh,78,3.64503421855429e-05,313.858064023091,153.23607083706239,0.48823365846604017
5,7Networks_LH_Vis_6,lh,44,1.6369868673904312e-05,211.12130740689565,107.92979008305323,0.5112216829684526
6,7Networks_LH_Vis_7,lh,100,4.7250696739298834e-05,308.06232298907923,155.13735831718665,0.5035908215321945
7,7Networks_LH_Vis_8,lh,102,3.3939888445072104e-05,285.84388917433756,195.95983709456647,0.6855484567488851
8,7Networks_LH_Vis_9,lh,62,2.8953541639113693e-05,381.59270391697197,349.11858462547565,0.9148984795617001
9,7Networks_LH_Vis_10,lh,173,7.349645380906727e-05,213.94257056710978,94.21711269582931,0.44038506430058605
10,7Networks_LH_Vis_11,lh,86,3.46275630643461e-05,306.47333540878526,241.75239215983865,0.7888203123360815
11,7Networks_LH_Vis_12,lh,48,2.3162946844867667e-05,292.75661638110006,253.15351190661116,0.8647234519785029
12,7Networks_LH_Vis_13,lh,117,5.9576680865114736e-05,312.3095548195351,124.05839445547956,0.3972289433384945
13,7Networks_LH_Vis_14,lh,104,4.692949113468888e-05,283.6427265356265,174.72930216360905,0.6160189767519474
14,7Networks_LH_SomMot_1,lh,87,3.9347196309986483e-05,291.19453155822407,208.44897096893172,0.7158409529653291
15,7Networks_LH_SomMot_2,lh,155,5.718899293485804e-05,262.4368908323174,142.49585313245908,0.5429718843282061
16,7Networks_LH_SomMot_3,lh,135,5.1355156680432e-05,244.3580389351271,110.02182347301958,0.4502484303462122
17,7Networks_LH_SomMot_4,lh,113,3.729991415535161e-05,275.5481263593875,167.15902718926597,0.6066418574417975
18,7Networks_LH_SomMot_5,lh,70,2.427397581043347e-05,285.5618579515806,172.03795489001413,0.6024542497520261
19,7Networks_LH_SomMot_6,lh,170,7.151853365644991e-05,307.5840921561551,109.2654803443033,0.3552377484100547
20,7Networks_LH_SomMot_7,lh,94,3.4808430677621024e-05,323.2314537965323,210.58918971509038,0.6515120581292563
21,7Networks_LH_SomMot_8,lh,91,2.8512133429675384e-05,239.51403210661104,165.02304111928203,0.6889911195091399
22,7Networks_LH_SomMot_9,lh,82,2.9203893962619782e-05,338.14493678881485,297.3121828554404,0.8792448163762507
23,7Networks_LH_SomMot_10,lh,120,4.338219837695014e-05,313.30543530696025,241.0248281521793,0.7692966702477914
24,7Networks_LH_SomMot_11,lh,53,1.6119998325672272e-05,284.72372241440365,238.24289601031393,0.8367511283923199
25,7Networks_LH_SomMot_12,lh,110,4.987728837318858e-05,306.6232335730735,232.04125290049055,0.7567634396014913
26,7Networks_LH_SomMot_13,lh,59,2.240617377812204e-05,303.70729242031615,277.333415956226,0.9131602133952386
27,7Networks_LH_SomMot_14,lh,99,3.457395570328672e-05,292.52117510228265,184.0383654077894,0.6291454467986419
28,7Networks_LH_SomMot_15,lh,219,8.831430645522813e-05,283.09826806746247,110.4071332938451,0.3899957920884738
29,7Networks_LH_SomMot_16,lh,58,2.421224322646584e-05,296.04107788200196,251.8278691127521,0.8506517774980111
30,7Networks_LH_DorsAttn_Post_1,lh,134,5.911471968516277e-05,198.3110911788883,101.18069046647578,0.5102119597294981
31,7Networks_LH_DorsAttn_Post_2,lh,56,1.9607447618791697e-05,312.55148621506873,267.0365869424875,0.8543763146873595
32,7Networks_LH_DorsAttn_Post_3,lh,88,3.8057479188782036e-05,283.5544960413405,134.89948413859628,0.4757444724802698
33,7Networks_LH_DorsAttn_Post_4,lh,98,3.013833662149999e-05,298.7699323615396,131.9890691930918,0.4417749408376633
34,7Networks_LH_DorsAttn_Post_5,lh,84,2.449770694906757e-05,281.8581275646887,175.09539995384407,0.6212182045864839
35,7Networks_LH_DorsAttn_Post_6,lh,73,2.081541323581577e-05,295.1359768490434,240.594040412192,0.8151972625663708
36,7Networks_LH_DorsAttn_Post_7,lh,96,3.05553678358577e-05,300.4113341170763,220.92977823190517,0.7354242438329721
37,7Networks_LH_DorsAttn_Post_8,lh,77,1.994123498396415e-05,321.37585784402256,284.42844551843973,0.8850336407549475
38,7Networks_LH_DorsAttn_Post_9,lh,97,2.5953938472553735e-05,290.6225945607223,198.77852988825364,0.6839747962084934
39,7Networks_LH_DorsAttn_Post_10,lh,104,3.133308711218322e-05,295.0603368346047,153.47507924679465,0.5201481191720617
40,7Networks_LH_DorsAttn_FEF_1,lh,101,4.263776259173412e-05,293.20040283030977,128.4885444871957,0.43822772154088296
41,7Networks_LH_DorsAttn_FEF_2,lh,71,2.8863624734972296e-05,279.40819745670325,177.17304686919485,0.6341011054145946
42,7Networks_LH_DorsAttn_PrCv_1,lh,81,3.106946522415475e-05,310.9829961581954,238.75768971206625,0.7677515898348715
43,7Networks_LH_SalVentAttn_ParOper_1,lh,93,3.427658107452431e-05,283.1475546152062,179.3739158293407,0.6334997880278622
44,7Networks_LH_SalVentAttn_ParOper_2,lh,82,2.434409242868601e-05,304.07014876743443,129.75792980090554,0.42673682479811537
45,7Networks_LH_SalVentAttn_ParOper_3,lh,78,2.1425894762213366e-05,301.143626396184,190.74619011131477,0.6334060341704507
46,7Networks_LH_SalVentAttn_FrOperIns_1,lh,127,5.280703807327074e-05,231.34073658571972,178.3416300551859,0.770904565651818
47,7Networks_LH_SalVentAttn_FrOperIns_2,lh,114,4.1811721630574025e-05,250.6187234236879,107.59236975550898,0.4293069898597193
48,7Networks_LH_SalVentAttn_FrOperIns_3,lh,86,3.218924274670112e-05,240.09285792898135,96.32991030838333,0.40121939127767553
49,7Networks_LH_SalVentAttn_FrOperIns_4,lh,86,3.299299115991832e-05,293.95523307319087,84.35287929777735,0.2869582501250271
50,7Networks_LH_SalVentAttn_PFCl_1,lh,116,4.835389357459663e-05,294.8262278075863,212.5903265949975,0.7210699271088638
51,7Networks_LH_SalVentAttn_Med_1,lh,113,3.609443944815151e-05,252.43745070564344,202.99982078780138,0.804158892511202
52,7Networks_LH_SalVentAttn_Med_2,lh,142,5.269905137821013e-05,252.15682297803343,122.04563420723137,0.484006868288721
53,7Networks_LH_SalVentAttn_Med_3,lh,74,2.684674368586858e-05,277.80399242075094,196.43335710049266,0.7070933552422907
54,7Networks_LH_Limbic_OFC_1,lh,70,3.113446724668735e-05,195.55254543603894,65.84262238307704,0.3367004108090874
55,7Networks_LH_Limbic_OFC_2,lh,171,8.467472056534538e-05,172.2721818667582,52.48431560102915,0.30465926089925827
56,7Networks_LH_Limbic_TempPole_1,lh,113,4.230484996556879e-05,156.93695592729725,57.94368104337322,0.3692162926252772
57,7Networks_LH_Limbic_TempPole_2,lh,122,5.653795827312588e-05,197.28195054023757,98.1461963447273,0.4974920213225965
58,7Networks_LH_Limbic_TempPole_3,lh,74,3.2000536862204044e-05,181.05628337838527,121.47100589630645,0.6709019075711781
59,7Networks_LH_Limbic_TempPole_4,lh,60,2.6382298940480893e-05,231.52071945838117,194.5082166824068,0.840133086738149
60,7Networks_LH_Cont_Par_1,lh,72,1.814400889105193e-05,300.2224980852147,203.26902104826547,0.6770612540522193
61,7Networks_LH_Cont_Par_2,lh,107,3.1057973689787744e-05,283.6443287675197,186.517453988191,0.6575751216272836
62,7Networks_LH_Cont_Par_3,lh,72,1.5507243598842154e-05,252.02490075050986,219.2311136759011,0.8698787819102338
63,7Networks_LH_Cont_Temp_1,lh,64,2.6954655527136547e-05,264.5661704285742,222.190771863555,0.83983062348306
64,7Networks_LH_Cont_OFC_1,lh,52,2.792629045996068e-05,195.2351614616171,89.34272281808123,0.45761594453182475
65,7Networks_LH_Cont_PFCl_1,lh,67,3.22605651910534e-05,322.48477727509123,274.87077541941363,0.8523527148847057
66,7Networks_LH_Cont_PFCl_2,lh,77,3.34878094803285e-05,306.6136574748905,235.0758079527478,0.7666840736603485
67,7Networks_LH_Cont_PFCl_3,lh,103,4.269537958311565e-05,312.23212134969333,249.7791844056327,0.7999791415627135
68,7Networks_LH_Cont_PFCl_4,lh,104,3.751728723216312e-05,279.17451082124103,153.57300380471708,0.55009679555972
69,7Networks_LH_Cont_PFCl_5,lh,79,3.122257037523353e-05,308.1044317874122,213.14765993515329,0.6918032911718136
70,7Networks_LH_Cont_pCun_1,lh,75,2.7654631672426744e-05,292.28434205930847,227.02055395321185,0.7767113091099019
71,7Networks_LH_Cont_Cing_1,lh,79,2.9053364457071233e-05,208.48654146761672,113.33753079550576,0.5436203699177866
72,7Networks_LH_Cont_Cing_2,lh,45,1.7815272743598473e-05,215.27746708640427,150.0096104945886,0.6968198415042685
73,7Networks_LH_Default_Temp_1,lh,95,5.2342439617110396e-05,187.92942491874982,114.39919302317463,0.6087348645515968
74,7Networks_LH_Default_Temp_2,lh,64,3.0025118525798952e-05,240.44992833127517,200.95340107637787,0.8357390766177242
75,7Networks_LH_Default_Temp_3,lh,127,5.498958714098285e-05,261.5196909834593,186.2004296170141,0.7119939187630462
76,7Networks_LH_Default_Temp_4,lh,118,4.381204660591357e-05,235.91009126571126,139.74902582821767,0.5923825686236328
77,7Networks_LH_Default_Temp_5,lh,128,4.21902419684351e-05,286.7058753929613,186.03289493733422,0.6488632110603109
78,7Networks_LH_Default_Par_1,lh,84,2.9793902107308786e-05,263.5762738274594,159.6019945263136,0.6055248911773874
79,7Networks_LH_Default_Par_2,lh,69,2.4470475977467494e-05,308.3040344212154,171.1337639346214,0.5550811693265507
80,7Networks_LH_Default_Par_3,lh,65,1.6252324204106378e-05,305.12348631389204,226.81326493300855,0.7433490868666767
81,7Networks_LH_Default_Par_4,lh,126,4.091425198870516e-05,320.53632928686113,212.4159501330386,0.6626891579049027
82,7Networks_LH_Default_PFC_1,lh,93,3.605452020410346e-05,240.6490212881534,134.60584393459337,0.5593450711499723
83,7Networks_LH_Default_PFC_2,lh,83,3.835256649805755e-05,220.65813839116888,180.111359674534,0.8162461669790937
84,7Networks_LH_Default_PFC_3,lh,59,2.075044883801572e-05,309.1039432799298,174.45818893932395,0.5643997520320588
85,7Networks_LH_Default_PFC_4,lh,119,7.232185794173912e-05,280.20493990517997,123.61355510171111,0.44115408937309014
86,7Networks_LH_Default_PFC_5,lh,70,2.6777119375390406e-05,308.833809730601,119.61362417948793,0.3873074139253994
87,7Networks_LH_Default_PFC_6,lh,69,3.098709467587718e-05,271.23159327498763,191.89943362449034,0.707511360706175
88,7Networks_LH_Default_PFC_7,lh,108,5.429992277046799e-05,285.28652054821924,117.65816085447473,0.41242103071809205
89,7Networks_LH_Default_PFC_8,lh,80,3.746395997133821e-05,248.00756016602224,165.57132166387385,0.6676059453713282
90,7Networks_LH_Default_PFC_9,lh,90,4.130018870069298e-05,291.6752175037153,179.18519272415466,0.6143312217530864
91,7Networks_LH_Default_PFC_10,lh,68,3.528493264022544e-05,283.8777550387564,265.75867162123217,0.9361729367803034
92,7Networks_LH_Default_PFC_11,lh,68,2.7935821794972973e-05,345.5938010801305,258.63541978851384,0.7483798001589322
93,7Networks_LH_Default_PFC_12,lh,135,6.0467600509282676e-05,284.0957368601499,143.5051138202072,0.5051294166052538
94,7Networks_LH_Default_PFC_13,lh,82,3.8264221058809284e-05,278.07689346720935,148.074943370369,0.5324963952383548
95,7Networks_LH_Default_pCunPCC_1,lh,113,4.086686741194805e-05,250.33711368340371,176.3521602721765,0.7044587104060227
96,7Networks_LH_Default_pCunPCC_2,lh,115,4.542403137236222e-05,252.69305320229648,163.0561716756538,0.6452736615007663
97,7Networks_LH_Default_pCunPCC_3,lh,60,2.118943167486479e-05,238.09279932373164,192.8416026954762,0.8099430274381042
98,7Networks_LH_Default_pCunPCC_4,lh,85,2.8274936753842556e-05,266.93392744836893,209.7430891582417,0.7857490846636974
99,7Networks_LH_Default_PHC_1,lh,130,5.502737900644705e-05,207.0624946952343,84.8353190518517,0.40970876534988565
100,7Networks_RH_Vis_1,rh,96,3.89286923878203e-05,167.79350486668022,79.10578913469868,0.47144726607595405
101,7Networks_RH_Vis_2,rh,110,5.410875006069842e-05,193.30329375701245,83.9057823070097,0.4340628691639449
102,7Networks_RH_Vis_3,rh,139,6.38005147827094e-05,193.21418303918668,103.08296164935363,0.5335165360425269
103,7Networks_RH_Vis_4,rh,70,4.007614917942704e-05,199.68270314252686,134.67012759970012,0.6744205956766174
104,7Networks_RH_Vis_5,rh,72,3.055001994204621e-05,274.74375414306303,226.4915610824117,0.8243738307676842
105,7Networks_RH_Vis_6,rh,120,5.8867119825810506e-05,293.39666100026886,136.69250677768028,0.46589659988514665
106,7Networks_RH_Vis_7,rh,76,2.853560215968581e-05,208.20043495533216,89.5235036311249,0.42998711145983676
107,7Networks_RH_Vis_8,rh,129,6.129853867255003e-05,334.35157904512073,239.84036650135903,0.7173298453870696
108,7Networks_RH_Vis_9,rh,99,5.503578389797732e-05,224.6576987946234,83.71794142678382,0.3726466614585807
109,7Networks_RH_Vis_10,rh,73,3.0387154816536255e-05,223.73964671623068,110.45404320490707,0.4936721981374901
110,7Networks_RH_Vis_11,rh,69,2.9637511152209905e-05,285.36462435773495,217.57684211768614,0.7624520474721856
111,7Networks_RH_Vis_12,rh,118,5.37243490588738e-05,302.120247869064,161.90771454959224,0.5359048779139143
112,7Networks_RH_Vis_13,rh,76,4.446647164565791e-05,291.88523262186203,203.80444177696575,0.6982348505482456
113,7Networks_RH_Vis_14,rh,56,2.7299096004669584e-05,314.5897601616244,109.89949636729594,0.3493422554848375
114,7Networks_RH_Vis_15,rh,97,4.891121751912927e-05,283.17707564243074,110.62783373610235,0.3906666296525808
115,7Networks_RH_SomMot_1,rh,105,4.133036495161703e-05,256.62272552418045,176.50244946133404,0.6877896300914432
116,7Networks_RH_SomMot_2,rh,79,2.8556197279362204e-05,283.76186114559835,99.54963506335422,0.35082105347580606
117,7Networks_RH_SomMot_3,rh,113,3.9251532749325084e-05,243.53860977422508,119.80730540356811,0.49194378466164634
118,7Networks_RH_SomMot_4,rh,85,3.0119479058179723e-05,254.2396218900501,109.8646898395,0.4321304799887277
119,7Networks_RH_SomMot_5,rh,54,1.7371596582694494e-05,280.7500180923562,169.11371954016695,0.6023640557149845
120,7Networks_RH_SomMot_6,rh,63,2.0329071475864837e-05,286.9591224156101,194.83105691927628,0.6789505602024304
121,7Networks_RH_SomMot_7,rh,179,7.284473235554751e-05,308.23577562461924,113.9795716522177,0.3697804754209524
122,7Networks_RH_SomMot_8,rh,45,1.4772242414586926e-05,230.8257904214886,158.70668549019695,0.6875604550098066
123,7Networks_RH_SomMot_9,rh,88,3.185050954222213e-05,328.80942482349934,297.9674916862118,0.9062011888684667
124,7Networks_RH_SomMot_10,rh,83,3.525772386556793e-05,326.17487943571365,119.4666902164128,0.3662657603279921
125,7Networks_RH_SomMot_11,rh,59,2.1352237550206985e-05,253.3456233390856,219.69188642275392,0.8671627460037529
126,7Networks_RH_SomMot_12,rh,81,3.643264914051431e-05,296.1311771322134,217.28297145290094,0.733738924611409
127,7Networks_RH_SomMot_13,rh,55,1.4478686635631665e-05,293.83808593808993,253.95381193724705,0.8642644506973604
128,7Networks_RH_SomMot_14,rh,113,4.6743095766059975e-05,298.0928584126495,222.5670726339241,0.7466367152138373
129,7Networks_RH_SomMot_15,rh,78,2.6419567312290714e-05,300.04151472162647,269.0894362729418,0.8968406806058105
130,7Networks_RH_SomMot_16,rh,109,4.308066854954799e-05,294.0501191253272,181.70926591412592,0.6179533830988844
131,7Networks_RH_SomMot_17,rh,85,2.979315939219877e-05,289.28938487687566,151.8501433347717,0.5249074154566735
132,7Networks_RH_SomMot_18,rh,142,5.304598435365336e-05,275.3531907756835,115.88638820006659,0.42086451903320576
133,7Networks_RH_SomMot_19,rh,63,2.6209712115333565e-05,293.06681053562306,257.94795645150793,0.88016775417206
134,7Networks_RH_DorsAttn_Post_1,rh,124,4.82217506348256e-05,231.58592096493328,113.42609350098412,0.48977974579965544
135,7Networks_RH_DorsAttn_Post_2,rh,115,3.7462818932845326e-05,280.3698046188934,174.50855872998847,0.622422799656325
136,7Networks_RH_DorsAttn_Post_3,rh,83,2.141171735651012e-05,306.0679219298674,186.47880526482402,0.6092726218710169
137,7Networks_RH_DorsAttn_Post_4,rh,83,1.9802860978154237e-05,268.4994940059647,176.4589437035377,0.6572040083606924
138,7Networks_RH_DorsAttn_Post_5,rh,101,2.5671356732273833e-05,276.7708028513027,160.98568407702814,0.5816570332511518
139,7Networks_RH_DorsAttn_Post_6,rh,56,1.568674374163952e-05,286.77520122959453,177.66187954621526,0.6195161882354595
140,7Networks_RH_DorsAttn_Post_7,rh,70,1.6708106657205583e-05,291.6278800689857,231.95425277118846,0.7953774951706223
141,7Networks_RH_DorsAttn_Post_8,rh,114,3.237794859592696e-05,300.9320881693839,250.92770043710522,0.8338349757366751
142,7Networks_RH_DorsAttn_Post_9,rh,94,2.1996742376738856e-05,289.9696807556968,184.11654331617711,0.6349510156935948
143,7Networks_RH_DorsAttn_Post_10,rh,94,2.9614723971103558e-05,282.3269880863291,170.43260650488938,0.6036709691132149
144,7Networks_RH_DorsAttn_FEF_1,rh,88,3.5312782769076164e-05,293.68364624353154,139.23034929855646,0.47408274542840007
