label,x_mm,y_mm,z_mm,table_label
Fp1,-26.81,84.06,-10.56,Fp1
Fp2,29.41,83.74,-10.04,Fp2
F7,-66.99,41.69,-15.96,F7
F3,-48.05,51.87,39.87,F3
Fz,0.90,57.01,66.36,Fz
F4,50.38,51.84,41.33,F4
F8,68.71,41.16,-15.31,F8
FC3,-58.83,21.02,54.82,FC3
FCz,0.57,24.63,87.63,FCz
FC4,60.29,21.16,55.58,FC4
T7,-83.36,-16.52,-12.65,T7
C3,-65.57,-13.25,64.98,C3
Cz,0.23,-11.28,99.81,Cz
C4,66.50,-12.80,65.11,C4
T8,84.44,-16.65,-11.79,T8
CP3,-65.51,-48.48,68.57,CP3
CPz,-0.42,-48.77,98.37,CPz
CP4,65.03,-48.35,68.57,CP4
P7,-71.46,-75.17,-3.70,P7/T5
P3,-55.07,-80.11,59.44,P3
Pz,-0.87,-82.23,82.43,Pz
P4,53.51,-80.13,59.40,P4
P8,71.10,-75.17,-3.69,P8/T6
O1,-28.98,-114.52,9.67,O1
Oz,-1.41,-117.79,15.84,Oz
O2,26.89,-114.68,9.45,O2
